complaint_id,date,month,channel,transaction_type,amount_naira,failure_reason,customer_segment,time_of_day,escalated,resolution_status,resolution_days,customer_age_group,account_type,repeat_complaint
C001,2025-10-01,October,Mobile,Transfer,45000,Network Error,Retail,Morning,No,Resolved,1,25-34,Savings,No
C002,2025-10-02,October,USSD,Airtime Purchase,1000,System Timeout,Retail,Afternoon,No,Resolved,1,18-24,Savings,No
C003,2025-10-03,October,Mobile,Bill Payment,25000,Authentication Failure,SME,Morning,No,Resolved,2,35-44,Current,No
C004,2025-10-06,October,USSD,Transfer,150000,Network Error,Retail,Evening,Yes,Resolved,3,45-54,Savings,No
C005,2025-10-07,October,Mobile,Transfer,500000,System Timeout,SME,Morning,Yes,Resolved,2,35-44,Current,No
C006,2025-10-08,October,USSD,Airtime Purchase,500,Network Error,Retail,Afternoon,No,Resolved,1,18-24,Savings,Yes
C007,2025-10-09,October,Mobile,Transfer,75000,Insufficient Funds,Retail,Morning,No,Resolved,1,25-34,Savings,No
C008,2025-10-10,October,USSD,Bill Payment,15000,System Timeout,Retail,Evening,No,Resolved,2,35-44,Savings,No
C009,2025-10-13,October,Mobile,Transfer,200000,Authentication Failure,SME,Morning,Yes,Resolved,3,45-54,Current,No
C010,2025-10-14,October,USSD,Transfer,30000,Network Error,Retail,Afternoon,No,Resolved,1,25-34,Savings,No
C011,2025-10-15,October,Mobile,Airtime Purchase,2000,System Timeout,Retail,Morning,No,Resolved,1,18-24,Savings,No
C012,2025-10-16,October,USSD,Transfer,80000,Network Error,SME,Afternoon,No,Resolved,2,35-44,Current,No
C013,2025-10-17,October,Mobile,Bill Payment,45000,Authentication Failure,Retail,Evening,Yes,Resolved,4,45-54,Savings,Yes
C014,2025-10-20,October,USSD,Transfer,120000,System Timeout,SME,Morning,Yes,Unresolved,7,35-44,Current,No
C015,2025-10-21,October,Mobile,Transfer,25000,Network Error,Retail,Afternoon,No,Resolved,1,25-34,Savings,No
C016,2025-10-22,October,USSD,Airtime Purchase,1500,Network Error,Retail,Morning,No,Resolved,1,18-24,Savings,No
C017,2025-10-23,October,Mobile,Transfer,350000,Duplicate Transaction,SME,Morning,Yes,Resolved,3,45-54,Current,No
C018,2025-10-24,October,USSD,Bill Payment,20000,System Timeout,Retail,Afternoon,No,Resolved,2,25-34,Savings,No
C019,2025-10-27,October,Mobile,Transfer,90000,Authentication Failure,Retail,Evening,No,Resolved,2,35-44,Savings,No
C020,2025-10-28,October,USSD,Transfer,60000,Network Error,SME,Morning,No,Resolved,1,35-44,Current,No
C021,2025-10-01,October,Mobile,Transfer,180000,Network Error,Retail,Morning,Yes,Resolved,2,45-54,Savings,No
C022,2025-10-02,October,USSD,Airtime Purchase,2000,System Timeout,Retail,Afternoon,No,Resolved,1,18-24,Savings,No
